INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	INT
120003	Nghe nói bÕn biªt hªt m÷i chuy®n c± kim, v§y bây gi¶ còn nß¾c nào giáp ranh v¾i ĞÕi T¯ng?	Nß¾c Liêu	Tây HÕ	Nß¾c Kim	#	#	#	-1	-1	1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
120004	Ğªn ĞÕi Lı, bÕn có biªt hoàng tµc ĞÕi Lı h÷ gì?	H÷ Ğoàn	H÷ Tri®u	H÷ Mµ Dung	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
120005	Thª tØ ĞÕi Lı Ğoàn Dñ là Ğ® nh¤t ğa tình trong giang h°, v§y ai là ngß¶i anh ta yêu nh¤t?	Vß½ng Ngæ Yên	Công chúa Tây HÕ	A Châu	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
120006	Võ công thiên hÕ b¡t ngu°n t× Thiªu Lâm, v§y các hÕ có biªt trø trì chùa Thiªu Lâm là ai không?	Khô Vinh ğÕi sß	Huy«n T× ğÕi sß	Cßu Ma Trí ğÕi sß	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
120007	Ch¡c các hÕ có nghe nói ğªn nhà Cô Tô Mµ Dung, nhßng bÕn có biªt h÷ là h§u ğÕi cüa hoàng th¤t nß¾c nào không?	Nß¾c ĞÕi Yên	Nß¾c ĞÕi Liêu	Nß¾c H§u Thøc	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
120008	Chín môn phái n±i tiªng nh¤t ğ«u phái ngß¶i ğªn ĞÕi Lı, bÕn có biªt môn phái nào không có trong chín ğÕi môn phái?	Phái Hoa S½n	Phái Tiêu Dao	Phái Thiªu Lâm	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130001	Nh¤n chuµt phäi vào ngß¶i ch½i khác, hi®n ra danh møc, ¤n vào "Nh§n làm bÕn t¯t" s¨ ra sao?	Nh§n ngß¶i ğó làm bÕn t¯t	Không có gì xäy ra	Có th¬ nh§n ğßşc ğ° v§t	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130002	Mu¯n gØi tin cho bÕn t¯t thì làm thª nào?	M· tay näi ra, ¤n chuµt phäi vào bánh bao	M· bäng häo hæu ra, ¤n vào tên ngß¶i bÕn c¥n gØi tin	M· bäng kÛ nång ra, ¤n vào kÛ nång quay v« ĞÕi Lı	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130003	Khi chat nh§p vào "##R [nµi dung]", chæ viªt hi®n ra s¨ có màu gì?	Ğö	Không thay ğ±i	Xanh ğö tím vàng	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130004	Lúc chat, gõ "##con s¯" có nghîa gì?	Thêm vào các bi¬u hi®n tình cäm	Không có gì xäy ra	Thêm vào các màu s¡c s£c sŞ	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130005	Thân tÕi giang h°, g£p gì cûng nên nh¾, ông chü quán rßşu thành ĞÕi Lı tên là gì?	Ğ² TØ Ğ¢ng 	Lô Tam Th¤t 	B° Lß½ng 	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130006	M¾i bß¾c chân vào giang h°, không biªt bÕn ğã hµi nh§p chßa? Có biªt thành bÕn ğang d×ng chân là thành nào không?	LÕc Dß½ng	ĞÕi Lı	Tô Châu	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130007	BÕn có biªt ra khöi cØa ğông thành ĞÕi Lı s¨ ği v« ğâu không? Nh¡c bÕn mµt chút ğó là n½i có Cung Kiªm H°	Tây H°	Vô Lßşng S½n	Kính H°	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
130008	BÕn có biªt ra khöi cØa tây thành ĞÕi Lı s¨ ği v« ğâu không? Nh¡c bÕn mµt chút ğó là yªu ğÕo t× Thøc Trung ğªn Tây B¡c	Kiªm Các	Ğôn Hoàng	Thäo Nguyên	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140001	BÕn có phát hi®n trong trò ch½i này làm thª nào ğ¬ có th¬ xoay góc nhìn trò ch½i không?	„n chuµt phäi và di chuy¬n chuµt	Chuy¬n ğµng màn máy tính	U¯ng mµt vò Næ nhi h°ng sau ğó ch½i game tiªp	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140002	Bän ğ° nhö cüa trò ch½i n¢m · góc nào cüa màn hình?	Góc trên phía trái màn hình	Góc trên phía phäi màn hình	Không xu¤t hi®n	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140003	Ği bµ r¤t m®t, nhßng trong trò ch½i có cách tñ ğµng ği, bÕn biªt làm cách nào không?	„n chuµt trái vào m£t ğ¤t và giæ ch£t	Giæ nút lên cüa bàn phím	Nh¤n ğúp chuµt trái	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140004	Còn nh¾ cách sØ døng các døng cø trong tay näi không?	M· tay näi, ¤n chuµt phäi vào ğ° v§t	M· tay näi, ¤n chuµt trái vào ğ° v§t	M· tay näi, ¤n chuµt giæa vào ğ° v§t	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140005	Không phäi là ğã quên làm thª nào mà ği ğªn ğây r°i chÑ? Mu¯n kh¯ng chª cho nhân v§t di chuy¬n phäi ¤n chuµt nào?	Chuµt phäi	Chuµt trái	Chuµt giæa	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140006	Có mµt công nång game r¤t có tác døng, ğó là xem bän ğ° cüa cä thành ph¯, bÕn biªt làm thª nào ğ¬ xem chßa?	Nh¤n phím TAB	Nh¤n phím Enter	Nh¤n phím PageUp	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140007	— góc trái phía trên màn hình cÕnh chân dung có mµt dòng ngang màu ğö có ı nghîa gì?	Lßşng kinh nghi®m cüa ta	Cµt máu cüa ta à, lúc ğµ dài b¢ng không thì ta ği ğ¸a phü r°i	Sñ tÑc gi§n cüa ta th¬ hi®n nång lñc chiªn ğ¤u cüa ta	#	#	#	-1	1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140008	Nhìn kÛ xem, bây gi¶ · ğâu trên màn hình th¬ hi®n level cüa bÕn?	Có mµt con s¯ xu¤t hi®n bên cÕnh chân dung cüa ta · góc trên bên trái	Con s¯ n¢m trên bän ğ° · góc trên bên phäi	Không th¬ hi®n, ta chÆng nhìn th¤y gì cä	#	#	#	1	-1	-1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140009	Ğ×ng có nh¤n thØ, hãy nói ngay trên bän ğ° · góc trên bên phäi màn hình có chæ "N" dùng ğ¬ làm gì?	Là ğ¬ giúp ta g÷i v§t cßŞi ğúng không	Là ğ¬ giúp ta thñc hi®n nhi®m vø ğúng không	Là ğ¬ giúp ta chuy¬n góc nhìn sang phía B¡c ğúng không	#	#	#	-1	-1	1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
140010	Chßa t×ng nói chuy®n · thª gi¾i äo này phäi không? BÕn biªt làm thª nào ğ¬ nói mµt Kı hi®u bi¬u cäm không?	„n vào chân dung · góc trên bên trái màn hình	„n vào chæ A · phía dß¾i bên trái màn hình	„n vào hình m£t cß¶i · phía dß¾i bên trái màn hình	#	#	#	-1	-1	1	-1	-1	-1	Höi ğáp cho ngß¶i m¾i ch½i	1
150000	 (__) ğ¥u v÷ng minh nguy®t, ğê ğ¥u tß c¯ hß½ng	Ğài	CØ	NgßŞng	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150001	Trß¶ng phong phá lãng hµi hæu th¶i, trñc quäi vân phàm (__) thß½ng häi	Tª	Tiªn	Hi®n	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
150002	XÕ nhân tiên xÕ mã, c¥m t£c tiên c¥m (__)	Ğ¥u	Thü	Vß½ng	#	#	#	-1	-1	-1	-1	-1	-1	Chßa sØ døng	3
150003	Nh¤t phu ğß½ng quan, vÕn phu (__) khai	Bi®t	MÕc	B¤t	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150004	Xu¤t sß v¸ ti®p thân tiên tØ, trß¶ng sØ anh hùng (__) mãn khâm	Th¯ng	L®	M° hôi	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150005	CØ bôi yêu minh nguy®t, ğ¯i (__) thành tam nhân	änh	Nguy®t	TØu	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
150006	Tích nh§t hoành ba (__), kim tác lßu l® tuy«n	Mâu	Møc	Hoành	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150007	C¯ nhân tây t× hoàng hÕc lâu, yên hoa tam nguy®t (__) dß½ng châu	Ğµ	Du	HÕ	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
150008	Vân tß·ng y thß¶ng hoa tß·ng dung, xuân phong (__) hÕm lµ hoá n°ng	Phü	Ph§t	Phù	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150009	Tri«u (__) bÕch ğª thái vân gian, thiên lı giang lång nh¤t nh§t hoàn	T×	Bi®t	Li	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
150010	BÕch nh§t phóng ca tu (__) tØu, thanh xuân tác bÕn häo hoàn hß½ng	Túng	¦m	Hát	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
150011	Phong hoä liên tam nguy®t, gia thß (__) vÕn kim	Tr¸	Ğ¬	Hoà	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150012	Ğµ ğ¥u dß lÕc nh§t, khß ly (__) cô yên	Thßşng	Hæu	Phi	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
150013	Xuân tri«u ğ¾i vû vãn lai c¤p, dã ğµ vô nhân chau tñ (__)	Ğình	Bài	Hoành	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
150014	B° ğào mÛ tØu dÕ quang bôi, døc (__) tÏ bà mã thßşng thôi	Ğàn	¦m	ThoÕi	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150015	T¥n th¶i minh nguy®t hán th¶i quan, vÕn lı trß¶ng chinh nhân v¸ (__)	Lai	H°i	Hoàn	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
150016	Hµi ğß½ng lång tuy®t ğïnh, nh¤t (__) chúng s½n ti¬u	Lãm	Khán	Phü	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
150017	Ğµc tÕi d¸ hß½ng v¸ d¸ nhân, m²i phùng giai tiªt (__) tß thân	T¤t	Bµi	Canh	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150018	Lµ (__) kim dÕ bÕch, nguy®t thi c¯ hß½ng minh	Có	Tòng	Ğß½ng	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
150019	Vô biên lÕc mµc (__) hÕ, b¤t t§n trß¶ng giang c±n c±n lai	Tiêu Tiêu	T¯c T¯c	Phiêu Phiêu	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160000	LßŞng ngÕn viên thanh ğ« b¤t trú, (__)	Khinh châu dî quá vÕn trùng s½n	Duy kiªn trß¶ng giang thiên tª lßu	TuÏ phong trñc ğáo dÕ lang tây	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160001	Phøng hoàng ğài thßşng phßşng hoàn du, (__)	Phßşng khÑ ğài không sÑ nhân s¥u	Phßşng khÑ ğài không giang tñ lßu	ThØ ğ¸a không dß hoang hÕc l¥u	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160002	 (__), lÕc hoa th¶i tiªt hñu phùng quân	Miên giang xuân s¡c lai thiên ğ¸a	Chính th¸ giang nam häo phong cänh	L® nhãn v¤n hoa hoa b¤t ngæ	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160003	Thiên hô vÕn Ñng s· xu¤t lai, (__)	Do bão tì bà bán già di®n	V¸ thành khúc ği®u tiên hæu tình	Lai nhß xuân mµng kÖ ğa th¶i	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160004	Thân vô thái phßşng song phi Ñc, (__)	Tß½ng phùng hà t¤t t¢ng tß½ng thÑc	Tâm hæu linh tê nh¤t ği¬m thông	Không kiªn b° ğào nh§p hán gia	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160005	H°ng ğ§u sinh nam qu¯c, (__)	ThØ v§t t¯i tß½ng tß	Xuân lai phát kÖ chi	Xuân phong xuy hñu sinh	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160006	 (__), tây xu¤t dß½ng quan vô c¯ nhân	Khuyªn quân canh t§n nh¤t bôi tØu	Dæ nhî ğ°ng tiêu vÕn c± s¥u	Ğông phong dÕ phóng hoa thiên thø	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160007	BÕch nh§t y s½n t§n, (__)	Døc cùng thiên lı møc	Hoàng hà nh§p häi lßu	T¤t cánh ğông lßu khÑ	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160008	ThuÏ ngôn th¯n thäo tâm, (__)	Báo ğ¡c tam xuân mâu	Ğång hÕ bÕch ğ¥u nhân	LÕp lÕp giai tân kh±	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160009	Häi thßşng sinh minh nguy®t, (__)	Vô nhai cµng thØ th¶i	Thiên giai nhßşc tÖ lân	Thiên nhai hà xÑ vô phß½ng thäo	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160010	MÕc s¥u ti«n lµ vô tri kÖ, (__)	Thiên hÕ thuÏ nhân b¤t thÑc quân	Yên ba giang thßşng sÑ nhân s¥u	Tuyªt thßşng không lßu mã phß½ng xÑ	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160011	 (__), hß½ng âm vô biªn m¤n mao thoái	Túng sÑ tß½ng phùng Ñng b¤t thÑc	Thiªu ti¬u li gia lão ğÕi h°i	T¥m dß½ng ğ¸a t¸ch vô âm lÕc	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160012	 (__), ğÕo th¸ vô tinh khß¾c hæu tinh	Ğông biên nh§t xu¤t tây biên vû	Ğa tình chï hæu xuân ğình nguy®t	Nghênh ğ¡c thanh l¥u bÕc hÕnh danh	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160013	Cô Tô thành ngoÕi hàn s½n tñ, (__)	Giang phong ngß hoä ğ¯i s¥u miên	DÕ bán chung thanh ğáo khách thuy«n	Cô Tô Thành Nam Yªn TØ ‘	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160014	LÕc Dß½ng thân hæu nhß tß½ng v¤n, (__)	B¤t phá l¥u lan chung b¤t hoàn	Nh¤t phiªn bång tâm tÕi ng÷c h°	Chü nhân vi hà ngôn thiªu ti«n	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160015	H¯t nhß nh¤t dÕ xuân phong lai, (__)	Thiên thø vÕn thø lê hoa khai	Do v¸ li nhân chiªu lÕc hoa	Xuân hoa thu nguy®t hà th¶i lÕc	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160016	T¸ch dß½ng vô hÕn häo, (__)	Chï th¸ c§n hoàng hôn	H°ng di®p vãn tiêu tiêu	KÖ ğµ t¸ch dß½ng h°ng	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160017	Ğ°ng th¸ thiên nhai luân lÕc nhân, (__)	Tß½ng thÑc v¸ b¤t t¢ng tß½ng phùng	Tß½ng phùng hà t¤t t¢ng tß½ng thÑc	Nhßşc cá thß sinh vÕn hµ h¥u	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
160018	 (__), th¶i th¶i ngµ Ph§t huy«n	Døc ğ¡c châu lang c¯	Song l® lÕc quân ti«n	BÕch ğ¥u tao canh ğoän	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
160019	Lßşng nguy®t nhß mi quäi li­u loan, (__)	Ğa tình chï hæu xuân ğình nguy®t	Vi®t trung s½n s¡c Kính trung khán	Dao khán bµc b¯ quá ti«n xuyên	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
170000	Nh¤t xuyên yên thäo, mãn thành phong tñ, mai tØ (__) th¶i vû	Hoàng	Thanh	Thøc	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
170001	Nhân hæu bi hoan li hşp, nguy®t hæu âm tinh viên khuyªt, thØ sñ (__) nan toàn	Cñc	Câu	C±	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
170002	Nh¸ th§p tÑ ki«u nhßng tÕi, ba tam (__), lãnh nguy®t vô thanh	Ğãng	Minh	Chuy¬n	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
170003	Tam bôi lßŞng trän ğÕm tØu, ch¦m (__) tha, vãn lai phong c¤p	Tri	Li®u	Ğ¸ch	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
170004	Thiên c± giang san, anh hùng vô m¸ch, tôn (__) xÑ	Tr÷ng mßu	Quy«n	Vân Trß¶ng	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
170005	Ğän nguy®n nhân trß¶ng cØu, thiên lı (__) thi«n quyên	Cµng	T«	Có	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
170006	Quân mÕc vû! Quân b¤t kiªn, ng÷c b¯i phi yªn (__) tr¥n th±	Cµng	Hoa	Giai	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
170007	Túng sÑ tß½ng phùng Ñng b¤t (__), tr¥n mãn di®n, t¤n nhß sß½ng	Kiªn	Thñc	Ái	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
170008	Mµng nh§p giang nam yên thuÖ lµ, hành t§n giang nam, b¤t dæ li nhân (__)	Tøc	KhÑ	Ngµ	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
170009	Thanh s½n (__) b¤t tÕi, t¤t cánh ğông lßu khÑ	Già	Lßu	Phong	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
170010	Ngô ğ°ng di®p thßşng tam canh vû, di®p di®p (__) th¸ bi®t li	Thanh thanh	Chi chi	Ti ti	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
170011	Ğài v÷ng nhãn, ngßŞng thiên trß¶ng (__), tráng hoài khích li®t	Thán	Khiªu	Tiªu	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
170012	Tân lai s¤u, phi can th¯ng tØu, b¤t th¸ (__) thu	Lãnh	Thanh	Bi	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
170013	 (__) lÕc thành nê ni­n tác tr¥n, chï hæu hß½ng nhß c¯	Linh	Ğiêu	Phi	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
170014	TØ khán lai, b¤t th¸ (__), ği¬m ği¬m th¸ li nhân l®	Ğào hoa	Xuân hoa	Dß½ng hoa	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
170015	Tß½ng ğß½ng niên, kim qua thiªt ma, khí (__) vÕn lı nhß h±	Thôn	Xung	Tiêu	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
170016	Ni®m khÑ khÑ, thiên lı yên ba, mµ ai (__) s· thiên khoát	Thâm thâm	Tr¥m tr¥m	Sâm sâm	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
170017	Yên thuÖ (__), cao lâm lµng tàn chiªu, vãn ği«u thê thiªt	Di¬u	Khoát	Quá	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
170018	Minh nguy®t kÖ th¶i hæu? Bä tØu (__) thanh thiên	Yêu	V÷ng	V¤n	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
170019	Hoài s½n (__) vãn, v¤n thuÏ tích, phß½ng tâm cao hÕo?	Xuân	Thu	Ğông	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
180000	 (__), trù trß¾ng thØ tình nan Kí	Loan cänh chu nhan kinh âm hoán	H°ng nhÕn tÕi vân ngß tÕi thuÖ	Thí v¤n nhàn s¥u ğô kÖ hÑa	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
180001	Nh¤t khúc tân t× tØu nh¤t bôi, (__) t¸ch dß½ng tây hÕ Kí th¶i h°i?	KhÑ niên thiên khí cñ trì ğài	ĞÆng nhàn li bi®t d¸ tiêu h°n	TØu diên ca t¸ch mÕc t× t¥n	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
180002	Tích nhân dî th×a hoàng hÕc khÑ, (__)	ThØ ğ¸a không dß hoang hÕc l¥u	Hoàng hÕc nh¤t khÑ b¤t phøc phän	BÕch vân thiên täi không du du	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
180003	Th§p niên sinh tØ lßŞng mang mang, b¤t tß lßşng, (__)	Nhân hà tÕi	Tñ mµng li	Tñ nan vong	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
180004	 (__), công hæu kÖ húa tân s¥u? Ba tiêu b¤t tri¬n ğinh hß½ng kªt	Khách lµ thanh s½n hÕ	Døc tri phß½ng th¯n	Hành châu løc thuÖ ti«n	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
180005	KhÑ niên kim nh§t thØ môn trung, nhân di®n ğào hoa tß½ng ánh h°ng. (__), ğào hoa y cñu tiªu xuân phong	Løc dß½ng yên ngoÕi hi¬u vân khinh	Nhân diên b¤t tri hà xß khÑ	H°ng hÕnh chi ğ¥u xuân ı náo	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
180006	MÕc ğÆng nhàn, (__), không bi thiªt	BÕch li­u thiªu niên ğ¥u	LÕc di®p ğô s¥u	MÕc th¸ vô hoa không chiªt chi	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
180007	MÕc mÕc khinh hàn thßşng ti¬u lâu, hi¬u âm vô lÕi tñ cùng thu, (__)	Ngô ğ°ng canh kiêm tØ vû	ĞÕm yên lßu thuÖ hoÕ bình u	Nhßşc phá hoÕ la khinh phiªn	#	#	#	-1	1	-1	-1	-1	-1	Chßa sØ døng	3
180008	 (__), bát thiên lı lµ vân hoà nguy®t	VÕn lı vân phàm hà th¶i ğáo	Nh¤t soa yên vû nhâm bình sinh	Tam th§p công danh tr¥n dæ th±	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
180009	Thiên kim tùng mãi tß½ng nhß phø, (__)?	Há xÑ thoÕi thê lß½ng	Ğa tình v¸ thuÏ chuy tích	MÕch mÕch thØ tình thuÏ t¯	#	#	#	-1	-1	1	-1	-1	-1	Chßa sØ døng	3
180010	Vân thanh thanh h« døc vû, thuÖ ğàm ğàm h« sinh yên. (__), sÑ ngã b¤t ğ¡c khai tâm nhan	An nång toä my chiªt yªu sñ quy«n quı	Thiên c± doanh khuy hßu v¤n	Canh tiêu tha, kÖ ğµ ğông phong, kÖ ğµ phi hoa	#	#	#	1	-1	-1	-1	-1	-1	Chßa sØ døng	3
